"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.706,NA,NA
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5825,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.481,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.083,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7445,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,0.795,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,1.2385,NA,NA,NA,NA,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,1.4705,NA,NA,NA,NA,NA,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,1.3705,NA,NA,NA,NA,NA,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,1.2155,NA,NA,NA,NA,NA,NA,0.6085
1841,NA,NA,NA,NA,NA,NA,NA,0.9145,NA,NA,NA,NA,NA,NA,NA
1842,NA,NA,NA,NA,NA,NA,NA,0.63,NA,NA,NA,NA,NA,NA,NA
1843,NA,NA,NA,NA,NA,NA,NA,0.525,NA,NA,NA,NA,NA,NA,NA
1844,NA,NA,NA,NA,NA,NA,NA,0.5725,NA,NA,NA,NA,NA,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7495,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,0.7135,NA,0.871,NA,NA,NA,NA,NA
1851,NA,NA,NA,NA,NA,NA,NA,0.928,NA,0.9605,NA,NA,NA,NA,NA
1852,NA,NA,NA,0.6525,NA,NA,NA,1.152,NA,1.096,NA,NA,NA,NA,0.612
1853,NA,NA,NA,0.7145,NA,NA,NA,1.3205,NA,1.157,NA,NA,NA,NA,0.6855
1854,NA,NA,NA,0.5715,NA,NA,NA,1.058,NA,1.02,NA,NA,NA,NA,0.661
1855,NA,NA,NA,NA,NA,NA,NA,0.908,NA,0.914,NA,NA,NA,NA,NA
1856,NA,0.592,NA,NA,NA,NA,NA,0.874,NA,0.7425,NA,NA,NA,NA,NA
1857,NA,0.6845,NA,NA,NA,NA,NA,0.783,NA,0.623,NA,NA,NA,NA,NA
1858,NA,0.814,NA,NA,NA,NA,NA,0.5225,NA,NA,NA,NA,NA,NA,NA
1859,NA,0.8025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
