"years","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,-1.476,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,-1.4955,NA,NA,NA,NA,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,-1.665,NA,NA,NA,NA,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,NA,-1.6745,NA,NA,NA,NA,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,NA,-1.62,NA,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,NA,-1.5065,NA,NA,NA,NA,NA,NA
1851,NA,NA,NA,NA,NA,NA,NA,NA,-1.1175,NA,NA,NA,NA,NA,NA
1852,NA,NA,NA,NA,NA,NA,NA,NA,-1.103,NA,NA,NA,NA,NA,NA
1853,NA,NA,NA,NA,NA,NA,NA,NA,-1.0375,NA,NA,NA,NA,NA,NA
1854,NA,NA,NA,NA,NA,NA,NA,NA,-1.2145,NA,NA,NA,NA,NA,NA
1855,NA,NA,NA,NA,NA,NA,NA,NA,-1.246,NA,NA,NA,NA,NA,NA
1856,NA,NA,NA,NA,NA,NA,NA,NA,-1.182,NA,NA,NA,NA,NA,NA
1857,NA,NA,NA,NA,NA,NA,NA,NA,-0.9335,NA,NA,NA,NA,NA,NA
1858,NA,NA,NA,NA,NA,NA,NA,NA,-0.7805,NA,NA,NA,NA,NA,NA
1859,NA,NA,NA,NA,NA,NA,NA,NA,-0.7165,NA,NA,NA,NA,NA,NA
1860,NA,NA,NA,NA,NA,NA,-1.396,-1.47,-0.6305,NA,NA,NA,NA,NA,NA
1861,NA,NA,NA,NA,NA,NA,-1.5955,-1.6435,-0.5995,NA,NA,NA,NA,NA,NA
1862,NA,NA,NA,NA,NA,NA,-1.7805,-1.8985,-0.5825,NA,NA,NA,NA,NA,NA
1863,NA,NA,NA,NA,NA,NA,-1.616,-1.8415,-0.5385,NA,NA,NA,NA,NA,NA
1864,NA,NA,NA,NA,NA,NA,-1.359,-1.5405,-0.204,NA,NA,NA,NA,NA,NA
1865,NA,NA,NA,NA,NA,NA,-1.127,-1.1725,0.0335000000000001,NA,NA,NA,NA,NA,NA
1866,NA,NA,NA,NA,NA,NA,-0.9535,-0.791,0.145,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,NA,NA,NA,-0.8915,-0.701,0.202,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,NA,NA,-0.652,-0.763,0.186,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,NA,-1.5595,-0.734,-0.8165,0.1175,NA,NA,NA,-0.3075,NA,NA
1870,NA,NA,NA,NA,NA,-1.914,-0.625,-0.722,0.0454999999999999,NA,NA,NA,-0.2655,NA,NA
1871,NA,NA,-0.6715,NA,NA,-2.201,-0.536,-0.6485,0.0405000000000002,NA,NA,NA,-0.1295,NA,NA
1872,NA,NA,-0.5375,NA,NA,-2.39,-0.4835,-0.6885,-0.046,NA,NA,-0.401,-0.219,NA,NA
1873,NA,NA,-0.4385,NA,-0.2425,-2.701,-0.681,-0.5255,-0.0940000000000001,NA,NA,-0.5425,-0.35,NA,NA
1874,NA,NA,-0.488,NA,-0.1955,-2.4765,-0.8815,-0.4125,-0.184,NA,NA,-0.7135,-0.3055,NA,NA
1875,NA,NA,-0.5145,-1.183,-0.1135,-2.181,-1.191,-0.374,-0.2565,NA,NA,-0.7055,-0.3555,NA,NA
1876,NA,NA,-0.6165,-1.6125,-0.0994999999999999,-2.179,-1.405,-0.4575,-0.396,NA,-0.6295,-0.7945,-0.572,NA,-0.9225
1877,NA,NA,-0.717,-2.1265,-0.1985,-2.147,-1.6575,-0.289,-0.5395,-0.7375,-0.81,-0.9655,-0.68,NA,-0.9455
1878,NA,NA,-0.729,-2.265,-0.1375,-2.1035,-1.852,-0.0870000000000002,-0.5505,-0.509,-0.941,-0.958,-0.7315,NA,-0.9015
1879,NA,NA,-0.5895,-2.084,-0.225,-1.866,-1.595,0.0609999999999995,-0.5,-0.382,-0.9725,-0.885,-0.6905,NA,-0.688
1880,NA,NA,-0.5175,-2.1755,-0.336,-1.654,-1.444,0.0670000000000002,-0.4245,-0.2855,-0.954,-0.7275,-0.6355,NA,-0.715
1881,NA,NA,-0.541,-2.292,-0.4385,-1.4035,-1.3185,0.0554999999999999,-0.406,-0.3435,-1.056,-0.603,-0.6365,NA,-0.7655
1882,NA,NA,-0.5215,-2.297,-0.4575,-1.1905,-1.153,0.0934999999999997,-0.297,-0.371,-1.0235,-0.4915,-0.6035,NA,-0.814
1883,NA,NA,-0.5265,-2.243,-0.4535,-0.983,-0.9285,-0.1025,-0.282,-0.4925,-0.926,-0.404,-0.5605,NA,-0.6075
1884,NA,NA,-0.5325,-1.9555,-0.267,-0.985,-0.7305,-0.311,-0.3085,-0.623,-0.8685,-0.4045,-0.5325,NA,-0.5535
1885,NA,-1.302,-0.515,-1.6235,-0.093,-1.04,-0.547,-0.547,-0.3665,-0.65,-0.7255,-0.2775,-0.4725,NA,-0.5855
1886,NA,-0.916,-0.3635,-1.203,0.0725,-0.8925,-0.259,-0.5535,-0.304,-0.52,-0.4845,-0.109,-0.27,0.4195,-0.4465
