"scaled","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983710974387775,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814373405073912,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356663227386618,NA,NA,NA,NA,0.463377647104669,NA,NA,0.28544224267846,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471368648818802,NA,NA,0.689788284968566,NA,0.884162999750862,0.75338968929457,NA,0.619048685629536,0.478898276190002
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.687135988066846,0.388482569231463,NA,0.689788284968566,NA,1.10822706626013,0.861887273736544,NA,0.759733322493471,0.397782090829479
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20168890793283,0.871405998610268,NA,0.689788284968566,NA,1.10822706626013,0.932328233426189,NA,0.887079749559464,0.417631496559493
