"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00632911392405064,1.16890080428954,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.109281437125748,0.543893129770992,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.215226939970718,0.248006379585327,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.215226939970718,0.230345911949686,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.108345534407028,0.121863799283154,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00585651537335286,-0.0165289256198348,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,0.68140243902439,NA,NA,NA,0.0928143712574851,-0.0652037617554858,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,0.928571428571429,NA,NA,NA,0.153965785381026,-0.0652037617554858,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,1.20188679245283,NA,NA,NA,0.135303265940902,-0.16214587100663,0.0641562064156206,NA
1839,NA,NA,NA,NA,NA,NA,NA,1.20188679245283,NA,-0.110421836228288,NA,0.0684292379471229,-0.177997527812114,0.18235294117647,NA
1840,NA,NA,NA,NA,NA,NA,NA,0.998287671232877,NA,-0.1025,NA,0.0770440251572326,-0.189122373300371,0.23644578313253,0.803921568627451
1841,NA,NA,NA,NA,NA,NA,NA,0.539787798408488,NA,-0.0170157068062828,NA,0.151260504201681,-0.212608158220025,0.272868217054264,0.522026431718062
1842,NA,NA,NA,NA,NA,NA,NA,0.36509900990099,NA,-0.0170157068062828,NA,0.277985074626866,-0.195527156549521,0.229457364341085,0.285425101214575
1843,NA,-0.450331125827815,NA,NA,NA,NA,NA,0.23508353221957,NA,-0.0353403141361257,NA,0.139925373134328,-0.195527156549521,0.182945736434109,0.00878734622144125
1844,NA,-0.608084358523726,NA,NA,NA,NA,NA,0.047570850202429,NA,-0.0353403141361257,NA,0.00328407224958942,-0.18594249201278,0.101769911504425,-0.115562403697997
1845,NA,-0.643396226415094,NA,NA,NA,NA,NA,-0.0381040892193309,NA,-1.20024110770287e-16,NA,-0.110625909752547,-0.173884938590821,0.114285714285714,0.0138674884437596
1846,NA,-0.643396226415094,NA,NA,NA,NA,NA,-0.00815956482320942,NA,-0.0364583333333335,NA,-0.163013698630137,-0.142857142857143,0.164591977869986,-0.0477568740955138
1847,NA,-0.64804469273743,NA,NA,NA,NA,NA,-0.05770887166236,NA,-0.0364583333333335,NA,-0.176549865229111,-0.142857142857143,0.120805369127517,-0.105978260869565
1848,NA,-0.624254473161034,NA,NA,NA,NA,NA,0.110539845758355,NA,0.114583333333333,NA,-0.158904109589041,-0.0683453237410073,0.018348623853211,-0.136482939632546
