"years","SJ01","SJ02","SJ03","SJ04","SJ05","SJ06","SJ07","SJ08","SJ09","SJ10","SJ11","SJ12","SJ13","SJ14","SJ15","SJ16","SJ17","SJ18","SJ19","SJ20"
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48119918699187,NA,NA,0.308823529411765,NA,0.28,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597560975609756,NA,NA,0.308823529411765,NA,0.579545454545455,NA,NA,0.547619047619048,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261707988980716,NA,NA,0.292490118577075,NA,2.64772727272727,0.560509554140127,NA,2.40579710144928,0.624910522548318
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26078971533517,NA,NA,0.956521739130434,NA,5.05208333333333,3.73658536585366,NA,5.55737704918033,0.790220820189274
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380165289256198,0.387871853546911,NA,0.956521739130434,NA,5.91666666666667,5.81720430107527,NA,7.05357142857143,0.790220820189274
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.664847161572052,0.870036101083032,NA,0.956521739130434,NA,5.91666666666667,6.63855421686747,NA,8.41071428571428,0.829652996845426
