"year","bai_mean","bai_sd","bai_se","n_trees","site","nseries"
1836,1450.79027824725,NA,NA,1,"CA_Low",1
1837,1793.0446677991,NA,NA,1,"CA_Low",1
1838,1753.93637415497,NA,NA,1,"CA_Low",1
1839,1485.80485496803,NA,NA,1,"CA_Low",1
1840,2135.00502111477,NA,NA,1,"CA_Low",1
1841,3425.76626120145,NA,NA,1,"CA_Low",1
1842,1698.78071551086,NA,NA,1,"CA_Low",1
1843,2324.0822890745,NA,NA,1,"CA_Low",1
1844,2650.48006035715,NA,NA,1,"CA_Low",2
1845,2686.74635843898,NA,NA,1,"CA_Low",2
1846,2109.46088923763,NA,NA,1,"CA_Low",2
1847,2730.35694863197,NA,NA,1,"CA_Low",2
1848,2159.69722153144,NA,NA,1,"CA_Low",2
1849,1761.72128452466,NA,NA,1,"CA_Low",2
1850,2012.42839842813,NA,NA,1,"CA_Low",2
1851,1345.41430406691,500.405597971464,288.909306692821,3,"CA_Low",4
1852,1356.3729800236,724.7111525116,418.412178987296,3,"CA_Low",4
1853,1908.30590840955,338.026619761157,195.159759912363,3,"CA_Low",5
1854,2116.4119698376,706.16037064184,407.701880081113,3,"CA_Low",5
1855,1970.82318175905,414.732598919295,239.445977627768,3,"CA_Low",5
1856,2072.91506974123,240.496801131882,138.850892872736,3,"CA_Low",5
1857,1718.94272066752,336.865581706172,194.489434278778,3,"CA_Low",5
1858,2249.85805861737,607.868093757756,350.952807562825,3,"CA_Low",5
1859,2216.55926866937,477.541970842524,275.708985415276,3,"CA_Low",5
1860,1400.48687893346,1109.37371831794,496.127009322122,5,"CA_Low",7
1861,1434.22462156438,935.420064133201,418.33257018381,5,"CA_Low",8
1862,1385.32894146442,1068.81125398145,436.340367266465,6,"CA_Low",10
1863,1208.59885116551,836.727842778293,316.253398147845,7,"CA_Low",11
1864,770.184021029,437.225074230134,154.58240744646,8,"CA_Low",12
1865,982.240054394073,499.837145381038,176.719117493929,8,"CA_Low",13
1866,1094.17761581912,632.991130602517,210.997043534172,9,"CA_Low",15
1867,992.516330510438,710.842256493281,214.327004537981,11,"CA_Low",18
1868,1257.70549463865,804.207162931145,232.154611001261,12,"CA_Low",19
1869,1360.301404705,990.485883491321,285.928645731119,12,"CA_Low",19
1870,1169.89108064059,772.738776175339,223.070470219047,12,"CA_Low",21
1871,1009.83475879583,790.281268128629,228.134551444791,12,"CA_Low",21
1872,1132.56796033543,852.293267726372,246.035873775163,12,"CA_Low",22
1873,1303.57892772803,855.028290610122,246.82540687425,12,"CA_Low",23
1874,1073.04357931343,649.803897559094,187.582227588105,12,"CA_Low",24
1875,1226.85441246906,822.868807503535,237.541763759956,12,"CA_Low",24
1876,1371.57284137827,851.275899576019,236.101454268313,13,"CA_Low",25
1877,1401.78378202989,837.865037229274,223.928850404895,14,"CA_Low",26
1878,1313.11960968778,746.709779440067,199.566583001305,14,"CA_Low",26
1879,998.229507419205,608.435803659358,162.611308509984,14,"CA_Low",26
1880,967.64161874737,577.502530375207,154.344043475646,14,"CA_Low",26
1881,950.017534956944,580.112722962819,155.041646788241,14,"CA_Low",26
1882,876.202557468398,518.060499469662,138.457492474033,14,"CA_Low",26
1883,986.877518128842,640.321965113331,171.133243619993,14,"CA_Low",26
1884,904.086267248348,624.232398616298,166.833126096163,14,"CA_Low",26
1885,992.916331814204,711.660622115277,190.199301686697,14,"CA_Low",26
1886,683.267904597084,587.294775993173,156.961131200615,14,"CA_Low",26
1887,822.136903372564,651.442911257783,174.1054414978,14,"CA_Low",26
1888,936.776766979666,646.666117220776,172.82878959111,14,"CA_Low",26
1889,958.32705161299,576.129959420277,153.977208457618,14,"CA_Low",26
1890,966.752320728398,440.11179480049,117.624824858685,14,"CA_Low",26
1891,954.596457738877,495.119056735873,132.326133997738,14,"CA_Low",26
1892,946.987558315736,445.846985035796,119.157618923577,14,"CA_Low",27
1893,809.196695511762,346.808558922338,92.6884861634423,14,"CA_Low",27
1894,840.399238135854,396.897597262729,106.075344756494,14,"CA_Low",27
1895,833.106908499498,385.102367219145,102.922936926403,14,"CA_Low",27
1896,949.364377281032,421.110723989997,112.546575076207,14,"CA_Low",27
1897,865.103655580176,361.81622968049,96.6994548884788,14,"CA_Low",27
1898,978.596794791372,396.901906974513,106.076496575418,14,"CA_Low",27
1899,1360.81737162181,598.215851199902,154.458668608968,15,"CA_Low",28
1900,1067.76409728751,447.108332204477,115.442874971901,15,"CA_Low",28
1901,1277.07051235227,634.727041709753,163.885817461958,15,"CA_Low",28
1902,1269.05631927789,624.577856450613,161.26530909621,15,"CA_Low",29
1903,1152.64816791844,516.549290792143,133.372453382215,15,"CA_Low",29
1904,1596.60508940222,774.015461373277,199.849932773717,15,"CA_Low",29
1905,1269.32951360034,753.093345289675,194.44786562977,15,"CA_Low",29
1906,1286.07488118139,703.956138631933,181.760693425464,15,"CA_Low",29
1907,1188.26328983241,676.478454127848,174.665985793686,15,"CA_Low",29
1908,1485.23841164273,744.70406447226,192.281762636936,15,"CA_Low",29
1909,1199.57548383385,626.664599086708,161.804103728038,15,"CA_Low",29
1910,1073.93471527772,553.291813576162,142.859331971558,15,"CA_Low",29
1911,1091.48185345143,559.066873323113,144.350445986444,15,"CA_Low",29
1912,1073.68113236798,527.389200054254,136.171305918652,15,"CA_Low",29
1913,894.066423623614,387.386516001652,100.022768334647,15,"CA_Low",29
1914,1095.53776540823,632.80202720953,163.388780855254,15,"CA_Low",29
1915,1148.74471833498,694.525814699955,179.325794256271,15,"CA_Low",29
1916,1079.6442707036,674.408243973427,174.131459830271,15,"CA_Low",30
1917,1372.21452291074,806.780896861949,208.309931838974,15,"CA_Low",30
1918,1221.63007577392,831.829786702222,214.777527385131,15,"CA_Low",30
1919,1131.20637242455,696.31001050994,179.786471633501,15,"CA_Low",30
1920,1248.93213626881,779.509531020729,201.268495456882,15,"CA_Low",30
1921,1061.74601927452,573.070110481352,147.966066273568,15,"CA_Low",30
1922,1101.0312604671,593.025709583161,153.118579805894,15,"CA_Low",30
1923,883.576369971077,481.524122039516,124.32899369708,15,"CA_Low",30
1924,964.523040814933,559.307658807249,144.412616531116,15,"CA_Low",30
1925,1129.42158139855,618.241191020577,159.629189117476,15,"CA_Low",30
1926,953.858040539415,561.103273973241,144.876242373388,15,"CA_Low",30
1927,1109.93443316158,600.40799314688,155.024677225845,15,"CA_Low",30
