"year","total_tree","n_pos","n_neg","per_pos","per_neg","site","site_sorted"
1846,1,NA,1,NA,100,"gc_caL","2_caL"
1847,1,NA,1,NA,100,"gc_caL","2_caL"
1848,1,NA,1,NA,100,"gc_caL","2_caL"
1849,1,NA,1,NA,100,"gc_caL","2_caL"
1850,1,NA,1,NA,100,"gc_caL","2_caL"
1851,1,NA,1,NA,100,"gc_caL","2_caL"
1852,1,NA,1,NA,100,"gc_caL","2_caL"
1853,1,NA,NA,NA,NA,"gc_caL","2_caL"
1854,1,NA,1,NA,100,"gc_caL","2_caL"
1855,1,NA,1,NA,100,"gc_caL","2_caL"
1856,1,NA,1,NA,100,"gc_caL","2_caL"
1857,1,NA,NA,NA,NA,"gc_caL","2_caL"
1858,1,NA,NA,NA,NA,"gc_caL","2_caL"
1859,1,NA,NA,NA,NA,"gc_caL","2_caL"
1860,1,NA,NA,NA,NA,"gc_caL","2_caL"
1861,3,NA,2,NA,66.67,"gc_caL","2_caL"
1862,3,NA,2,NA,66.67,"gc_caL","2_caL"
1863,3,NA,1,NA,33.33,"gc_caL","2_caL"
1864,3,NA,1,NA,33.33,"gc_caL","2_caL"
1865,3,NA,1,NA,33.33,"gc_caL","2_caL"
1866,3,NA,NA,NA,NA,"gc_caL","2_caL"
1867,3,NA,1,NA,33.33,"gc_caL","2_caL"
1868,3,NA,1,NA,33.33,"gc_caL","2_caL"
1869,3,NA,1,NA,33.33,"gc_caL","2_caL"
1870,5,NA,1,NA,20,"gc_caL","2_caL"
1871,5,NA,1,NA,20,"gc_caL","2_caL"
1872,6,NA,1,NA,16.67,"gc_caL","2_caL"
1873,7,NA,2,NA,28.57,"gc_caL","2_caL"
1874,8,NA,2,NA,25,"gc_caL","2_caL"
1875,8,NA,2,NA,25,"gc_caL","2_caL"
1876,9,NA,4,NA,44.44,"gc_caL","2_caL"
1877,11,NA,6,NA,54.55,"gc_caL","2_caL"
1878,12,NA,7,NA,58.33,"gc_caL","2_caL"
1879,12,NA,7,NA,58.33,"gc_caL","2_caL"
1880,12,NA,7,NA,58.33,"gc_caL","2_caL"
1881,12,NA,6,NA,50,"gc_caL","2_caL"
1882,12,NA,5,NA,41.67,"gc_caL","2_caL"
1883,12,NA,3,NA,25,"gc_caL","2_caL"
1884,12,NA,2,NA,16.67,"gc_caL","2_caL"
1885,12,NA,2,NA,16.67,"gc_caL","2_caL"
1886,13,NA,3,NA,23.08,"gc_caL","2_caL"
1887,14,1,2,7.14,14.29,"gc_caL","2_caL"
1888,14,1,2,7.14,14.29,"gc_caL","2_caL"
1889,14,1,1,7.14,7.14,"gc_caL","2_caL"
