"variables","CA_High_m","CA_High_sd","CA_High_l","CA_Low_m","CA_Low_sd","CA_Low_l","SJ_High_m","SJ_High_sd","SJ_High_l","SJ_Low_m","SJ_Low_sd","SJ_Low_l"
"ba",1.229,0.764,"b",0.566,0.223,"a",0.451,0.181,"a",0.28,0.116,"a"
"crowding",0.717,0.472,"b",0.482,0.184,"ab",0.603,0.274,"ab",0.333,0.136,"a"
"dn",0.698,0.205,"c",0.459,0.086,"b",0.316,0.038,"a",0.321,0.038,"a"
"dnn",3.412,1.859,"a",3.123,1.308,"a",2.285,1.468,"a",2.514,1.24,"a"
"h",15.42,1.784,"b",12.607,1.575,"a",10.94,2.345,"a",12.69,2.002,"a"
"lorimer",7.664,4.711,"a",7.779,3.937,"a",11.529,3.811,"a",7.161,3.136,"a"
"mde",1864.649,12.141,"d",1718.537,21.902,"c",1450.954,22.558,"b",1339.607,11.1,"a"
"n_competitors",10.933,4.621,"a",12.867,7.1,"a",12.7,3.743,"a",8.6,3.471,"a"
"n_competitors_higher",1.2,1.474,"a",0.667,0.816,"a",0.5,0.707,"a",0.5,0.707,"a"
"nesr",0.059,0.085,"a",0.035,0.032,"a",0.108,0.117,"a",0.046,0.055,"a"
"newsr",0.484,0.622,"a",0.179,0.223,"a",0.617,0.901,"a",0.176,0.286,"a"
"pd",0.035,0.015,"a",0.041,0.023,"a",0.04,0.012,"a",0.027,0.011,"a"
"sdd",-0.493,0.402,"a",-0.414,0.229,"ab",-0.235,0.11,"ab",-0.183,0.08,"b"
"slope",12.112,3.275,"a",12.858,2.984,"a",32.271,1.554,"c",22.379,3.042,"b"
"sr",0.215,0.196,"a",0.171,0.068,"a",0.118,0.028,"a",0.184,0.074,"a"
"srd",0.908,0.629,"a",0.89,0.438,"a",1.388,0.505,"a",0.835,0.381,"a"
"std",348.019,147.087,"a",409.559,225.999,"a",404.254,119.148,"a",273.747,110.47,"a"
"sum_sizes",3.374,1.444,"b",2.549,1.073,"ab",2.525,0.878,"ab",1.629,0.605,"a"
