date;PM1;TM2;TM3;TM1;
1992-01-31 00:00;24.4;-2.4;6.5;2.0;
1992-02-29 00:00;44.4;2.1;12.8;7.4;
1992-03-31 00:00;36.8;4.8;14.5;9.7;
1992-04-30 00:00;;7.9;18.0;13.0;
1992-05-31 00:00;4.4;11.3;23.3;17.3;
1992-06-30 00:00;58.5;10.5;20.9;15.7;
1992-07-31 00:00;34.7;18.5;31.0;24.7;
1992-08-31 00:00;0.4;17.9;32.0;24.9;
1992-09-30 00:00;15.2;14.9;27.6;21.3;
1992-10-31 00:00;81.8;7.4;16.7;12.0;
1992-11-30 00:00;21.5;6.6;15.5;11.1;
1992-12-31 00:00;34.6;;;;
1993-01-31 00:00;1.2;2.1;11.5;6.8;
1993-02-28 00:00;18.1;1.4;10.4;5.9;
1993-03-31 00:00;20.5;4.4;14.9;9.6;
1993-04-30 00:00;61.1;5.3;16.1;10.7;
1993-05-31 00:00;54.0;;;;
1993-06-30 00:00;1.1;13.4;27.5;20.4;
1993-07-31 00:00;0.0;18.6;32.7;25.6;
1993-08-31 00:00;0.3;17.8;31.9;24.8;
1993-09-30 00:00;5.8;11.3;24.2;17.7;
1993-10-31 00:00;80.8;7.4;15.5;11.5;
1993-11-30 00:00;35.9;4.4;11.7;8.1;
1993-12-31 00:00;5.5;3.6;11.4;7.5;
1994-01-31 00:00;56.0;1.6;10.1;5.9;
1994-02-28 00:00;74.9;1.5;11.5;6.5;
1994-03-31 00:00;0.5;6.5;17.2;11.9;
1994-04-30 00:00;28.5;5.6;16.9;11.3;
1994-05-31 00:00;40.5;10.7;23.5;17.1;
1994-06-30 00:00;4.6;14.9;30.5;22.7;
1994-07-31 00:00;0.0;21.3;36.0;28.6;
1994-08-31 00:00;1.2;20.2;34.2;27.2;
1994-09-30 00:00;;12.3;25.6;19.0;
1994-10-31 00:00;35.3;10.4;19.7;15.1;
1994-11-30 00:00;38.3;7.4;16.7;12.1;
1994-12-31 00:00;8.3;2.7;12.0;7.3;
1995-01-31 00:00;13.3;1.8;11.1;6.5;
1995-02-28 00:00;15.4;3.6;15.1;9.3;
1995-03-31 00:00;37.1;6.0;17.0;11.5;
1995-04-30 00:00;12.1;7.0;18.8;12.9;
1995-05-31 00:00;2.0;12.8;25.6;19.2;
1995-06-30 00:00;36.7;13.9;27.3;20.6;
1995-07-31 00:00;0.0;18.6;33.0;25.8;
1995-08-31 00:00;1.5;;;;
1995-09-30 00:00;14.9;12.4;24.5;18.4;
1995-10-31 00:00;5.2;12.2;23.5;17.9;
1995-11-30 00:00;55.9;8.5;16.7;12.6;
1995-12-31 00:00;179.1;4.9;13.0;9.0;
1996-01-31 00:00;208.8;4.0;9.8;6.9;
1996-02-29 00:00;78.5;1.2;9.1;5.2;
1996-03-31 00:00;40.5;5.1;14.4;9.7;
1996-04-30 00:00;40.4;8.0;18.0;13.0;
1996-05-31 00:00;111.9;9.7;19.0;14.4;
1996-06-30 00:00;1.9;;;;
1996-07-31 00:00;4.5;17.6;31.1;24.3;
1996-08-31 00:00;6.5;16.4;29.3;22.9;
1996-09-30 00:00;90.0;11.9;22.2;17.1;
1996-10-31 00:00;35.3;9.6;18.7;14.2;
1996-11-30 00:00;81.9;6.3;13.9;10.1;
1996-12-31 00:00;;4.2;10.5;7.3;
1997-01-31 00:00;;3.4;9.3;6.3;
1997-02-28 00:00;0.0;;;;
1997-03-31 00:00;2.0;8.4;19.0;13.7;
1997-04-30 00:00;77.8;;;;
1997-05-31 00:00;61.2;;;;
1997-06-30 00:00;54.0;;;;
1997-09-30 00:00;;14.7;25.9;20.3;
1997-10-31 00:00;44.5;11.4;21.0;16.2;
1997-11-30 00:00;228.1;6.0;12.5;9.3;
1997-12-31 00:00;167.9;3.7;11.4;7.5;
1998-01-31 00:00;11.2;2.9;11.3;7.1;
1998-02-28 00:00;64.1;5.0;13.6;9.3;
1998-03-31 00:00;32.1;7.1;18.1;12.6;
1998-04-30 00:00;;5.1;14.3;9.7;
1998-05-31 00:00;96.9;8.9;18.0;13.5;
1998-10-31 00:00;;9.6;20.0;14.8;
