"id","cli_estacion_id","cli_variable_id","valor","fecha","created_at","updated_at","cli_validacione_id"
76967220,386,130,"0.00","1996-06-01 07:00:00","2012-02-20 18:31:58.60256","2012-02-20 18:31:58.60256",3
76967221,386,130,"0.00","1996-06-02 07:00:00","2012-02-20 18:31:58.637858","2012-02-20 18:31:58.637858",3
76967222,386,130,"0.00","1996-06-03 07:00:00","2012-02-20 18:31:58.695246","2012-02-20 18:31:58.695246",3
76967223,386,130,"0.00","1996-06-04 07:00:00","2012-02-20 18:31:58.733679","2012-02-20 18:31:58.733679",3
76967225,386,130,"0.00","1996-06-05 07:00:00","2012-02-20 18:31:58.786037","2012-02-20 18:31:58.786037",3
76967226,386,130,"0.00","1996-06-06 07:00:00","2012-02-20 18:31:58.843302","2012-02-20 18:31:58.843302",3
76967227,386,130,"0.00","1996-06-07 07:00:00","2012-02-20 18:31:58.869682","2012-02-20 18:31:58.869682",3
76967229,386,130,"0.00","1996-06-08 07:00:00","2012-02-20 18:31:58.928574","2012-02-20 18:31:58.928574",3
76967230,386,130,"0.00","1996-06-09 07:00:00","2012-02-20 18:31:58.993325","2012-02-20 18:31:58.993325",3
76967231,386,130,"0.00","1996-06-10 07:00:00","2012-02-20 18:31:59.028337","2012-02-20 18:31:59.028337",3
76967232,386,130,"0.00","1996-06-11 07:00:00","2012-02-20 18:31:59.097189","2012-02-20 18:31:59.097189",3
76967233,386,130,"0.00","1996-06-12 07:00:00","2012-02-20 18:31:59.155997","2012-02-20 18:31:59.155997",3
76967234,386,130,"0.00","1996-06-13 07:00:00","2012-02-20 18:31:59.190928","2012-02-20 18:31:59.190928",3
76967235,386,130,"0.00","1996-06-14 07:00:00","2012-02-20 18:31:59.245116","2012-02-20 18:31:59.245116",3
76967237,386,130,"0.00","1996-06-15 07:00:00","2012-02-20 18:31:59.290984","2012-02-20 18:31:59.290984",3
76967238,386,130,"0.00","1996-06-16 07:00:00","2012-02-20 18:31:59.345241","2012-02-20 18:31:59.345241",3
76967241,386,130,"0.00","1996-06-17 07:00:00","2012-02-20 18:31:59.391939","2012-02-20 18:31:59.391939",3
76967242,386,130,"0.00","1996-06-18 07:00:00","2012-02-20 18:31:59.455147","2012-02-20 18:31:59.455147",3
76967244,386,130,"0.00","1996-06-19 07:00:00","2012-02-20 18:31:59.511235","2012-02-20 18:31:59.511235",3
76967245,386,130,"0.00","1996-06-20 07:00:00","2012-02-20 18:31:59.551693","2012-02-20 18:31:59.551693",3
76967246,386,130,"0.00","1996-06-21 07:00:00","2012-02-20 18:31:59.593791","2012-02-20 18:31:59.593791",3
76967247,386,130,"0.00","1996-06-22 07:00:00","2012-02-20 18:31:59.642972","2012-02-20 18:31:59.642972",3
76967248,386,130,"0.00","1996-06-23 07:00:00","2012-02-20 18:31:59.723141","2012-02-20 18:31:59.723141",3
76967249,386,130,"4.00","1996-06-24 07:00:00","2012-02-20 18:31:59.745714","2012-02-20 18:31:59.745714",3
76967251,386,130,"0.00","1996-06-25 07:00:00","2012-02-20 18:31:59.803829","2012-02-20 18:31:59.803829",3
76967252,386,130,"0.00","1996-06-26 07:00:00","2012-02-20 18:31:59.846058","2012-02-20 18:31:59.846058",3
76967253,386,130,"0.00","1996-06-27 07:00:00","2012-02-20 18:31:59.905072","2012-02-20 18:31:59.905072",3
76967254,386,130,"0.00","1996-06-28 07:00:00","2012-02-20 18:31:59.936888","2012-02-20 18:31:59.936888",3
76967256,386,130,"0.00","1996-06-29 07:00:00","2012-02-20 18:31:59.995006","2012-02-20 18:31:59.995006",3
76967257,386,130,"0.00","1996-06-30 07:00:00","2012-02-20 18:32:00.046738","2012-02-20 18:32:00.046738",3
76967258,386,130,"0.00","1996-07-01 07:00:00","2012-02-20 18:32:00.092524","2012-02-20 18:32:00.092524",3
76967260,386,130,"0.00","1996-07-02 07:00:00","2012-02-20 18:32:00.151523","2012-02-20 18:32:00.151523",3
76967261,386,130,"0.00","1996-07-03 07:00:00","2012-02-20 18:32:00.210952","2012-02-20 18:32:00.210952",3
76967262,386,130,"0.00","1996-07-04 07:00:00","2012-02-20 18:32:00.263013","2012-02-20 18:32:00.263013",3
76967265,386,130,"0.00","1996-07-05 07:00:00","2012-02-20 18:32:00.30541","2012-02-20 18:32:00.30541",3
76967267,386,130,"0.00","1996-07-06 07:00:00","2012-02-20 18:32:00.353909","2012-02-20 18:32:00.353909",3
76967269,386,130,"0.00","1996-07-07 07:00:00","2012-02-20 18:32:00.406201","2012-02-20 18:32:00.406201",3
76967270,386,130,"0.00","1996-07-08 07:00:00","2012-02-20 18:32:00.443123","2012-02-20 18:32:00.443123",3
76967271,386,130,"0.00","1996-07-09 07:00:00","2012-02-20 18:32:00.454793","2012-02-20 18:32:00.454793",3
76967273,386,130,"0.00","1996-07-10 07:00:00","2012-02-20 18:32:00.504524","2012-02-20 18:32:00.504524",3
76967274,386,130,"0.00","1996-07-11 07:00:00","2012-02-20 18:32:00.555675","2012-02-20 18:32:00.555675",3
