id_core,id_tree,tag_tree,sp,distance_cm,rumbo_degree,height_cm,perim_mm,date,loc
A11,1,1,Qpyr,857,330,960,705,2016/12/27,SJ
A11,2,2,Qpyr,986,350,1070,960,2016/12/27,SJ
A11,3,3,Qpyr,693,30,750,530,2016/12/27,SJ
A11,4,4,Qpyr,980,60,590,360,2016/12/27,SJ
A11,5,5,Qpyr,715,140,820,480,2016/12/27,SJ
A11,6,6,Qpyr,579,160,750,430,2016/12/27,SJ
A11,7,7,Qpyr,930,165,680,580,2016/12/27,SJ
A11,8,8,Qpyr,130,330,850,810,2016/12/27,SJ
A11,9,9,Qpyr,200,40,1180,710,2016/12/27,SJ
A12,10,10,Qpyr,83,270,1290,850,2016/12/27,SJ
A12,11,11,Qpyr,120,250,970,775,2016/12/27,SJ
A12,12,12,Qpyr,332,230,840,755,2016/12/27,SJ
A12,13,13,Qpyr,955,309,670,580,2016/12/27,SJ
A12,14,14,Qpyr,372,306,660,460,2016/12/27,SJ
A12,15,15,Qpyr,161,302,1160,900,2016/12/27,SJ
A12,16,16,Qpyr,938,38,790,370,2016/12/27,SJ
A12,17,17,Qpyr,995,22,720,480,2016/12/27,SJ
A12,18,18,Qpyr,797,64,580,680,2016/12/27,SJ
A13,19,19,Qpyr,967,265,660,265,2016/12/27,SJ
A13,20,20,Qpyr,732,336,960,1030,2016/12/27,SJ
A13,21,21,Qpyr,562,82,850,810,2016/12/27,SJ
A13,22,22,Qpyr,580,96,810,320,2016/12/27,SJ
A13,23,23,Qpyr,672,120,800,290,2016/12/27,SJ
A13,24,24,Qpyr,645,122,760,260,2016/12/27,SJ
A13,25,25,Qpyr,568,126,740,265,2016/12/27,SJ
A13,26,26,Qpyr,478,128,700,250,2016/12/27,SJ
A13,27,27,Qpyr,515,132,815,300,2016/12/27,SJ
A13,28,28,Qpyr,536,136,650,280,2016/12/27,SJ
A13,29,29,Qpyr,627,140,670,450,2016/12/27,SJ
A13,30,30,Qpyr,434,178,710,485,2016/12/27,SJ
A14,31,31,Qpyr,67,220,1190,640,2016/12/27,SJ
A14,32,32,Qpyr,142,268,1030,700,2016/12/27,SJ
A14,33,33,Qpyr,268,240,980,480,2016/12/27,SJ
A14,34,34,Qpyr,628,232,1050,645,2016/12/27,SJ
A14,35,35,Qpyr,817,228,680,475,2016/12/27,SJ
A14,36,36,Qpyr,991,218,985,560,2016/12/27,SJ
A14,37,37,Qpyr,712,40,570,465,2016/12/27,SJ
A14,38,38,Qpyr,435,28,620,410,2016/12/27,SJ
A14,39,39,Qpyr,102,44,590,790,2016/12/27,SJ
A14,40,40,Qpyr,358,22,1030,860,2016/12/27,SJ
A14,41,41,Qpyr,693,190,850,865,2016/12/27,SJ
A14,42,42,Qpyr,853,194,870,680,2016/12/27,SJ
A15,43,43,Qpyr,134,242,1330,920,2016/12/27,SJ
A15,44,44,Qpyr,284,244,470,330,2016/12/27,SJ
A15,45,45,Qpyr,322,230,1440,1125,2016/12/27,SJ
A15,46,46,Qpyr,439,198,630,315,2016/12/27,SJ
A15,47,47,Qpyr,520,208,1300,1090,2016/12/27,SJ
A15,48,48,Qpyr,570,208,500,460,2016/12/27,SJ
A15,49,49,Qpyr,622,206,730,590,2016/12/27,SJ
A15,50,50,Qpyr,703,220,520,480,2016/12/27,SJ
A15,51,51,Qpyr,809,186,1360,1075,2016/12/27,SJ
A15,52,52,Qpyr,495,100,400,355,2016/12/27,SJ
A15,53,53,Qpyr,542,94,620,610,2016/12/27,SJ
A15,54,54,Qpyr,622,96,1100,1010,2016/12/27,SJ
A15,55,55,Qpyr,953,122,1230,930,2016/12/27,SJ
A15,56,56,Qpyr,877,336,590,305,2016/12/27,SJ
A15,57,57,Qpyr,985,338,320,250,2016/12/27,SJ
A15,58,58,Qpyr,865,326,1060,730,2016/12/27,SJ
A15,59,59,Qpyr,956,320,850,530,2016/12/27,SJ
A15,60,60,Qpyr,370,300,950,490,2016/12/27,SJ
B01,61,61,Qpyr,841,144,430,255,2016/12/28,CA
B01,62,62,Qpyr,901,170,590,485,2016/12/28,CA
B01,63,63,Qpyr,260,246,1060,1435,2016/12/28,CA
B01,64,64,Qpyr,314,268,1350,1595,2016/12/28,CA
B01,65,65,Qpyr,680,310,1360,1770,2016/12/28,CA
B01,66,66,Qpyr,816,328,650,360,2016/12/28,CA
B01,67,67,Qpyr,983,316,1190,1440,2016/12/28,CA
B02,68,68,Qpyr,424,38,1220,1610,2016/12/28,CA
B02,69,69,Qpyr,571,8,930,1115,2016/12/28,CA
B02,70,70,Qpyr,461,340,760,420,2016/12/28,CA
B02,71,71,Qpyr,875,306,750,1725,2016/12/28,CA
B02,72,72,Qpyr,731,282,600,290,2016/12/28,CA
B02,73,73,Qpyr,798,274,630,320,2016/12/28,CA
B02,74,74,Qpyr,969,286,690,315,2016/12/28,CA
B02,75,75,Qpyr,931,266,480,255,2016/12/28,CA
B02,76,76,Qpyr,616,226,820,415,2016/12/28,CA
B02,77,77,Qpyr,756,242,740,360,2016/12/28,CA
B02,78,78,Qpyr,775,228,680,345,2016/12/28,CA
B02,79,79,Qpyr,814,216,600,285,2016/12/28,CA
B02,80,80,Qpyr,722,182,1210,1200,2016/12/28,CA
B03,81,81,Qpyr,656,42,980,1085,2016/12/28,CA
B03,82,82,Qpyr,978,342,960,365,2016/12/28,CA
B03,83,83,Qpyr,906,310,1100,700,2016/12/28,CA
B03,84,84,Qpyr,720,286,520,355,2016/12/28,CA
B03,85,85,Qpyr,919,258,710,450,2016/12/28,CA
B03,86,86,Qpyr,898,218,450,265,2016/12/28,CA
B03,87,87,Qpyr,496,156,870,440,2016/12/28,CA
B03,88,88,Qpyr,663,152,1030,510,2016/12/28,CA
B03,89,89,Qpyr,848,154,810,470,2016/12/28,CA
B03,90,90,Qpyr,898,122,690,435,2016/12/28,CA
B03,91,91,Qpyr,499,118,1160,1060,2016/12/28,CA
B03,92,92,Qpyr,857,110,1080,1210,2016/12/28,CA
B04,93,93,Qpyr,974,206,960,595,2016/12/28,CA
B04,94,94,Qpyr,853,236,1050,1155,2016/12/28,CA
B04,95,95,Qpyr,929,266,1060,440,2016/12/28,CA
B04,96,96,Qpyr,861,282,1160,1055,2016/12/28,CA
B04,97,97,Qpyr,978,310,810,385,2016/12/28,CA
B04,98,98,Qpyr,922,316,760,405,2016/12/28,CA
B04,99,99,Qpyr,797,335,680,280,2016/12/28,CA
B04,100,100,Qpyr,915,353,640,380,2016/12/28,CA
B04,101,101,Qpyr,765,339,1040,445,2016/12/28,CA
B04,102,102,Qpyr,572,342,990,480,2016/12/28,CA
B04,103,103,Qpyr,688,13,770,365,2016/12/28,CA
B04,104,104,Qpyr,992,21,1010,500,2016/12/28,CA
B04,105,105,Qpyr,980,30,580,300,2016/12/28,CA
B04,106,106,Qpyr,576,14,1030,585,2016/12/28,CA
B04,107,107,Qpyr,568,38,580,355,2016/12/28,CA
B04,108,108,Qpyr,439,9,640,280,2016/12/28,CA
B04,109,109,Qpyr,332,37,510,305,2016/12/28,CA
B04,110,110,Qpyr,280,302,1310,1400,2016/12/28,CA
B04,111,111,Qpyr,144,225,1410,1065,2016/12/28,CA
B05,112,112,Qpyr,810,62,690,260,2016/12/28,CA
B05,113,113,Qpyr,653,45,730,270,2016/12/28,CA
B05,114,114,Qpyr,845,30,1060,410,2016/12/28,CA
B05,115,115,Qpyr,723,6,1005,345,2016/12/28,CA
B05,116,116,Qpyr,782,1,1140,425,2016/12/28,CA
B05,117,117,Qpyr,830,358,1180,605,2016/12/28,CA
B05,118,118,Qpyr,852,350,770,400,2016/12/28,CA
B05,119,119,Qpyr,727,345,680,275,2016/12/28,CA
B05,120,120,Qpyr,673,333,640,278,2016/12/28,CA
B05,121,121,Qpyr,740,331,1230,575,2016/12/28,CA
B05,122,122,Qpyr,756,328,830,350,2016/12/28,CA
B05,123,123,Qpyr,549,306,1210,1280,2016/12/28,CA
B05,124,124,Qpyr,304,318,810,390,2016/12/28,CA
B05,125,125,Qpyr,366,300,1060,510,2016/12/28,CA
B05,126,126,Qpyr,693,290,1120,1020,2016/12/28,CA
B05,127,127,Qpyr,880,226,690,330,2016/12/28,CA
B05,128,128,Qpyr,624,190,1200,960,2016/12/28,CA
B05,129,129,Qpyr,415,209,1140,520,2016/12/28,CA
B05,130,130,Qpyr,390,220,1250,630,2016/12/28,CA
B05,131,131,Qpyr,289,206,850,450,2016/12/28,CA
B05,132,132,Qpyr,147,192,580,250,2016/12/28,CA
B05,133,133,Qpyr,496,190,710,340,2016/12/28,CA
B05,134,134,Qpyr,426,150,680,310,2016/12/28,CA
B05,135,135,Qpyr,531,151,780,305,2016/12/28,CA
B05,136,136,Qpyr,628,152,1080,420,2016/12/28,CA
B05,137,137,Qpyr,802,165,1250,665,2016/12/28,CA
B05,138,138,Qpyr,964,168,1200,580,2016/12/28,CA
B05,139,139,Qpyr,818,142,1170,530,2016/12/28,CA
B05,140,140,Qpyr,726,145,1210,620,2016/12/28,CA
B05,141,95,Qpyr,866,140,1060,440,2016/12/28,CA
B05,142,96,Qpyr,724,118,1160,1055,2016/12/28,CA
B05,143,98,Qpyr,901,72,760,405,2016/12/28,CA
B05,144,97,Qpyr,774,78,810,385,2016/12/28,CA
B06,145,141,Qpyr,305,30,1260,1450,2016/12/28,CA
B06,146,142,Qpyr,873,102,1080,600,2016/12/28,CA
B06,147,143,Qpyr,821,100,490,300,2016/12/28,CA
B06,148,144,Qpyr,738,158,670,285,2016/12/28,CA
B06,149,145,Qpyr,959,151,790,440,2016/12/28,CA
B06,150,146,Qpyr,595,214,940,495,2016/12/28,CA
B06,151,147,Qpyr,990,224,1070,475,2016/12/28,CA
B07,152,148,Qpyr,664,180,630,370,2016/12/28,CA
B07,153,149,Qpyr,735,190,560,350,2016/12/28,CA
B07,154,150,Qpyr,573,188,580,340,2016/12/28,CA
B07,155,151,Qpyr,555,214,540,265,2016/12/28,CA
B07,156,152,Qpyr,763,240,610,255,2016/12/28,CA
B07,157,153,Qpyr,848,296,870,310,2016/12/28,CA
