iv_malla_modi_id, tree, site
217426, B11, CaH
217426, B12, CaH
217426, B13, CaH
217426, B14, CaH
217426, B15, CaH
218105, B16, CaH
218105, B17, CaH
218105, B18, CaH
218105, B19, CaH
218105, B20, CaH
218105, B21, CaH
218104, B22, CaH
218104, B23, CaH
218104, B24, CaH
218104, B25, CaH
220819, B10, CaL
220819, B09, CaL
220819, B08, CaL
220819, B07, CaL
220819, B06, CaL
220819, B05, CaL
220819, B04, CaL
220819, B03, CaL
221498, B02, CaL
221498, B01, CaL
221498, B30, CaL
221498, B29, CaL
221498, B28, CaL
221498, B27, CaL
221498, B26, CaL
163801, A01, SJ
163801, A02, SJ
163801, A07, SJ
163802, A03, SJ
163122, A06, SJ
163122, A05, SJ
163123, A04, SJ
163123, A08, SJ
163123, A09, SJ
163123, A10, SJ
165166, A15, SJ
165166, A16, SJ
165166, A17, SJ
165166, A18, SJ
165166, A19, SJ
165166, A20, SJ
164487, A14, SJ
164488, A11, SJ
164488, A12, SJ
164488, A13, SJ
