"vb","value","date"
"PM1",0.2,1938-01-31
"PM1",0.2,1938-02-28
"PM1",0.3,1938-03-31
"PM1",0.8,1938-04-30
"PM1",1,1938-05-31
"PM1",11.6,1938-06-30
"PM1",0,1938-07-31
"PM1",0,1938-08-31
"PM1",0.3,1938-09-30
"PM1",1.3,1938-12-31
"PM1",0.7,1939-01-31
"PM1",0.3,1939-02-28
"PM1",0.6,1939-03-31
"PM1",0.6,1939-04-30
"PM1",0.4,1939-05-31
"PM1",0.7,1939-06-30
"PM1",0.2,1939-08-31
"PM1",0.7,1939-09-30
"PM1",1.2,1939-10-31
"PM1",40.3,1939-11-30
"PM1",51.8,1939-12-31
"PM1",79.6,1940-01-31
"PM1",70.6,1940-02-29
"PM1",67.2,1940-03-31
"PM1",9,1940-04-30
"PM1",27.6,1940-05-31
"PM1",84.6,1940-06-30
"PM1",0.7,1940-07-31
"PM1",13.3,1940-08-31
"PM1",0.2,1940-09-30
"PM1",65.4,1940-10-31
"PM1",35.9,1940-11-30
"PM1",4.9,1940-12-31
"PM1",99.6,1941-01-31
"PM1",120.1,1941-02-28
"PM1",34.6,1941-03-31
"PM1",79.1,1941-04-30
"PM1",44.9,1941-05-31
"PM1",10.1,1941-06-30
"PM1",3.4,1941-07-31
"PM1",13.5,1941-08-31
"PM1",16.7,1941-09-30
"PM1",14.7,1941-10-31
"PM1",29.1,1941-11-30
"PM1",16.1,1941-12-31
"PM1",28.7,1942-01-31
"PM1",38.5,1942-02-28
"PM1",97,1942-03-31
"PM1",66.9,1942-04-30
"PM1",27.9,1942-05-31
"PM1",0.2,1942-06-30
"PM1",0,1942-07-31
"PM1",0,1942-08-31
"PM1",16.8,1942-09-30
"PM1",91.4,1942-10-31
"PM1",53.7,1942-11-30
"PM1",40.1,1942-12-31
"PM1",46.3,1943-01-31
"PM1",9.4,1943-02-28
"PM1",75.8,1943-03-31
"PM1",20.4,1943-04-30
"PM1",31.1,1943-05-31
"PM1",2.2,1943-06-30
"PM1",1.9,1943-07-31
"PM1",0.1,1943-08-31
"PM1",26.5,1943-09-30
"PM1",9.2,1943-10-31
"PM1",1.1,1943-11-30
"PM1",182.6,1943-12-31
"PM1",0.1,1944-01-31
"PM1",51.8,1944-02-29
"PM1",49.6,1944-03-31
"PM1",58.7,1944-04-30
"PM1",38.8,1944-05-31
"PM1",36.3,1944-06-30
"PM1",0,1944-07-31
"PM1",13.9,1944-08-31
"PM1",41.7,1944-09-30
"PM1",47.4,1944-10-31
"PM1",29,1944-11-30
"PM1",12.8,1944-12-31
"PM1",45,1945-01-31
"PM1",0.1,1945-02-28
"PM1",37.8,1945-03-31
"PM1",5.2,1945-04-30
"PM1",4.5,1945-05-31
"PM1",11.8,1945-06-30
"PM1",0.1,1945-07-31
"PM1",0.1,1945-08-31
"PM1",0.3,1945-09-30
"PM1",27.6,1945-10-31
"PM1",52.7,1945-11-30
"PM1",69,1945-12-31
"PM1",25.2,1946-01-31
"PM1",32.4,1946-02-28
"PM1",83.4,1946-03-31
"PM1",117.9,1946-04-30
"PM1",68.2,1946-05-31
"PM1",12.9,1946-06-30
"PM1",0,1946-07-31
"PM1",0,1946-08-31
"PM1",0.3,1946-09-30
"PM1",25.2,1946-10-31
"PM1",81.6,1946-11-30
"PM1",26,1946-12-31
"PM1",98.2,1947-01-31
"PM1",167.3,1947-02-28
"PM1",73,1947-03-31
"PM1",11.9,1947-04-30
"PM1",47,1947-05-31
"PM1",2,1947-06-30
"PM1",6.7,1947-07-31
"PM1",8.4,1947-08-31
"PM1",3.5,1947-09-30
"PM1",46.8,1947-10-31
"PM1",30.4,1947-11-30
"PM1",56.9,1947-12-31
"PM1",116.4,1948-01-31
"PM1",45.2,1948-02-29
"PM1",7.7,1948-03-31
"PM1",57.1,1948-04-30
"PM1",51.4,1948-05-31
"PM1",2.7,1948-06-30
"PM1",0,1948-07-31
"PM1",0.1,1948-08-31
"PM1",0.1,1948-09-30
"PM1",49.2,1948-10-31
"PM1",0,1948-11-30
"PM1",34.4,1948-12-31
"PM1",27.3,1949-01-31
"PM1",22.3,1949-02-28
"PM1",20.4,1949-03-31
"PM1",27.7,1949-04-30
"PM1",14.3,1949-05-31
"PM1",2.3,1949-06-30
"PM1",3,1949-07-31
"PM1",15.2,1949-08-31
"PM1",84.7,1949-09-30
"PM1",0.1,1949-10-31
"PM1",47.8,1949-11-30
"PM1",28.4,1949-12-31
"PM1",28.4,1950-01-31
"PM1",29.3,1950-02-28
"PM1",20.4,1950-03-31
"PM1",35.5,1950-04-30
"PM1",20.2,1950-05-31
"PM1",0.2,1950-06-30
"PM1",0,1950-07-31
"PM1",19.9,1950-08-31
"PM1",43.2,1950-09-30
"PM1",52,1950-10-31
"PM1",32.1,1950-11-30
"PM1",51.4,1950-12-31
"TM1",6.1,1951-01-31
"TM2",1.3,1951-01-31
"TM3",10.7,1951-01-31
"TM4",-3.2,1951-01-31
"PM1",61.5,1951-01-31
"TM1",6.8,1951-02-28
"TM2",2.2,1951-02-28
"TM3",11.4,1951-02-28
"TM4",-1.5,1951-02-28
"PM1",80.9,1951-02-28
"TM1",11,1951-03-31
"TM2",5,1951-03-31
"TM3",17,1951-03-31
"TM4",0,1951-03-31
"PM1",44.1,1951-03-31
"TM1",13.2,1951-04-30
"TM2",6.2,1951-04-30
"TM3",20.1,1951-04-30
"TM4",0.8,1951-04-30
"PM1",60.5,1951-04-30
"TM1",13.8,1951-05-31
"TM2",7.2,1951-05-31
"TM3",20.3,1951-05-31
"TM4",0.7,1951-05-31
"PM1",40,1951-05-31
"TM1",22.3,1951-06-30
"TM2",13.8,1951-06-30
"TM3",30.7,1951-06-30
"TM4",8.3,1951-06-30
"PM1",1.5,1951-06-30
"TM1",25.4,1951-07-31
"TM2",16.6,1951-07-31
"TM3",34.2,1951-07-31
"TM4",14,1951-07-31
"PM1",1.5,1951-07-31
"TM1",24.9,1951-08-31
"TM2",16.3,1951-08-31
"TM3",33.4,1951-08-31
"TM4",12.5,1951-08-31
"PM1",1.2,1951-08-31
"TM1",21,1951-09-30
"TM2",14.1,1951-09-30
"TM3",27.9,1951-09-30
"TM4",10.6,1951-09-30
"PM1",73.4,1951-09-30
"TM1",13.6,1951-10-31
"TM2",7.7,1951-10-31
"TM3",19.5,1951-10-31
"TM4",-0.5,1951-10-31
"PM1",40.4,1951-10-31
"TM1",10.5,1951-11-30
"TM2",5.7,1951-11-30
"TM3",15.1,1951-11-30
"TM4",1.5,1951-11-30
"PM1",88.2,1951-11-30
"TM1",8.2,1951-12-31
"TM2",3.2,1951-12-31
"TM3",13.1,1951-12-31
"TM4",0,1951-12-31
"PM1",18.8,1951-12-31
"TM1",4.6,1952-01-31
"TM2",-0.2,1952-01-31
"TM3",9.3,1952-01-31
"TM4",-4.6,1952-01-31
"PM1",35.7,1952-01-31
"TM1",7.2,1952-02-29
"TM2",1.2,1952-02-29
"TM3",13.1,1952-02-29
"TM4",-3.5,1952-02-29
"PM1",15.2,1952-02-29
"TM1",13,1952-03-31
"TM2",6.1,1952-03-31
"TM3",19.8,1952-03-31
"TM4",1.5,1952-03-31
"PM1",29.1,1952-03-31
"TM1",12.5,1952-04-30
"TM2",6.1,1952-04-30
"TM3",18.8,1952-04-30
"TM4",-0.3,1952-04-30
"PM1",91.2,1952-04-30
"TM1",16,1952-05-31
"TM2",9.6,1952-05-31
"TM3",22.4,1952-05-31
"TM4",6.8,1952-05-31
"PM1",87.7,1952-05-31
"TM1",23,1952-06-30
"TM2",14.5,1952-06-30
"TM3",31.4,1952-06-30
"TM4",10.8,1952-06-30
"PM1",2.5,1952-06-30
"TM1",25.8,1952-07-31
"TM2",17.3,1952-07-31
"TM3",34.3,1952-07-31
"TM4",11.8,1952-07-31
"PM1",29.1,1952-07-31
"TM1",24.6,1952-08-31
"TM2",16.5,1952-08-31
"TM3",32.8,1952-08-31
"TM4",12.4,1952-08-31
"PM1",32.4,1952-08-31
"TM1",19.5,1952-09-30
"TM2",12,1952-09-30
"TM3",26.9,1952-09-30
"TM4",8.3,1952-09-30
"PM1",11.2,1952-09-30
"TM1",17.2,1952-10-31
"TM2",10.3,1952-10-31
"TM3",24,1952-10-31
"TM4",5.7,1952-10-31
"PM1",34.1,1952-10-31
