"vb","value","date"
"PM1",121.4,1946-04-30
"PM1",48.4,1946-05-31
"PM1",4.7,1946-06-30
"PM1",13.5,1946-10-31
"PM1",111.5,1946-11-30
"PM1",102.1,1947-01-31
"PM1",166.7,1947-02-28
"PM1",110.4,1947-03-31
"PM1",4,1947-04-30
"PM1",31.2,1947-05-31
"PM1",12.1,1947-09-30
"PM1",54,1947-10-31
"PM1",40.6,1947-11-30
"PM1",90,1947-12-31
"PM1",115.7,1948-01-31
"TM1",12,1948-02-29
"TM2",7.1,1948-02-29
"TM3",16.8,1948-02-29
"TM4",4,1948-02-29
"PM1",38.6,1948-02-29
"TM1",12.4,1948-03-31
"TM2",7.9,1948-03-31
"TM3",16.8,1948-03-31
"TM4",5,1948-03-31
"PM1",8,1948-03-31
"TM1",12.6,1948-04-30
"TM2",8.2,1948-04-30
"TM3",17,1948-04-30
"TM4",5,1948-04-30
"PM1",92.9,1948-04-30
"TM1",15.2,1948-05-31
"TM2",10.8,1948-05-31
"TM3",19.5,1948-05-31
"TM4",3.8,1948-05-31
"PM1",79.4,1948-05-31
"TM1",20.1,1948-06-30
"TM2",14.7,1948-06-30
"TM3",25.5,1948-06-30
"TM4",10,1948-06-30
"TM1",21.5,1948-07-31
"TM2",16.3,1948-07-31
"TM3",26.8,1948-07-31
"TM4",13,1948-07-31
"TM1",23,1948-08-31
"TM2",16.7,1948-08-31
"TM3",29.3,1948-08-31
"TM4",13,1948-08-31
"TM1",19.9,1948-09-30
"TM2",14.1,1948-09-30
"TM3",25.7,1948-09-30
"TM4",11.2,1948-09-30
"PM1",0.7,1948-09-30
"TM1",16.1,1948-10-31
"TM2",11.3,1948-10-31
"TM3",20.9,1948-10-31
"TM4",5,1948-10-31
"PM1",57,1948-10-31
"TM1",13.4,1948-11-30
"TM2",7.9,1948-11-30
"TM3",18.8,1948-11-30
"TM4",4.4,1948-11-30
"TM1",10.6,1948-12-31
"TM2",6.3,1948-12-31
"TM3",14.9,1948-12-31
"TM4",4,1948-12-31
"PM1",28.1,1948-12-31
"TM1",8.7,1949-01-31
"TM2",3.7,1949-01-31
"TM3",13.8,1949-01-31
"TM4",-0.4,1949-01-31
"PM1",52.9,1949-01-31
"TM1",9.4,1949-02-28
"TM2",4.5,1949-02-28
"TM3",14.3,1949-02-28
"TM4",1,1949-02-28
"PM1",30.9,1949-02-28
"TM1",10,1949-03-31
"TM2",5.8,1949-03-31
"TM3",14.2,1949-03-31
"TM4",0.4,1949-03-31
"PM1",28.8,1949-03-31
"TM1",14.9,1949-04-30
"TM2",10.5,1949-04-30
"TM3",19.3,1949-04-30
"TM4",6.8,1949-04-30
"PM1",68.2,1949-04-30
"TM1",15.1,1949-05-31
"TM2",9.9,1949-05-31
"TM3",20.2,1949-05-31
"TM4",5,1949-05-31
"PM1",26,1949-05-31
"TM1",20.3,1949-06-30
"TM2",14.7,1949-06-30
"TM3",25.9,1949-06-30
"TM4",8.6,1949-06-30
"PM1",0,1949-06-30
"TM1",23.9,1949-07-31
"TM2",18,1949-07-31
"TM3",29.8,1949-07-31
"TM4",15,1949-07-31
"PM1",0,1949-07-31
"TM1",23.8,1949-08-31
"TM2",18.2,1949-08-31
"TM3",29.4,1949-08-31
"TM4",15,1949-08-31
"PM1",25.5,1949-08-31
"TM1",20.9,1949-09-30
"TM2",15.8,1949-09-30
"TM3",26,1949-09-30
"TM4",11,1949-09-30
"PM1",60.6,1949-09-30
"PM1",59.3,1949-10-31
"TM1",13.4,1949-11-30
"TM2",8.5,1949-11-30
"TM3",18.3,1949-11-30
"TM4",2.8,1949-11-30
"PM1",59.3,1949-11-30
"TM1",9.9,1949-12-31
"TM2",5.8,1949-12-31
"TM3",14,1949-12-31
"TM4",0,1949-12-31
"PM1",35.7,1949-12-31
"TM1",8.7,1950-01-31
"TM2",3.8,1950-01-31
"TM3",13.5,1950-01-31
"TM4",0,1950-01-31
"PM1",39.8,1950-01-31
"TM1",11.1,1950-02-28
"TM2",5.4,1950-02-28
"TM3",16.8,1950-02-28
"TM4",1.4,1950-02-28
"PM1",10.9,1950-02-28
"TM1",11.7,1950-03-31
"TM2",6.3,1950-03-31
"TM3",17.1,1950-03-31
"TM4",1.4,1950-03-31
"PM1",22.5,1950-03-31
"PM1",26.4,1950-04-30
"TM1",15.5,1950-05-31
"TM2",10.1,1950-05-31
"TM3",20.9,1950-05-31
"TM4",6.4,1950-05-31
"PM1",14.3,1950-05-31
"TM1",19.9,1950-06-30
"TM2",14.5,1950-06-30
"TM3",25.3,1950-06-30
"TM4",12.2,1950-06-30
"TM1",24.7,1950-07-31
"TM2",18.4,1950-07-31
"TM3",31,1950-07-31
"TM4",14,1950-07-31
"TM1",24.2,1950-08-31
"TM2",18.4,1950-08-31
"TM3",29.9,1950-08-31
"TM4",14,1950-08-31
"PM1",6.8,1950-08-31
"TM1",20.9,1950-09-30
"TM2",15.7,1950-09-30
"TM3",26.2,1950-09-30
"TM4",11,1950-09-30
"PM1",60.5,1950-09-30
"TM1",16.6,1950-10-31
"TM2",11.5,1950-10-31
"TM3",21.7,1950-10-31
"TM4",6.4,1950-10-31
"PM1",54.4,1950-10-31
"TM1",14.7,1950-11-30
"TM2",9.2,1950-11-30
"TM3",20.2,1950-11-30
"TM4",3.6,1950-11-30
"PM1",2.6,1950-11-30
"TM1",8.1,1950-12-31
"TM2",3.2,1950-12-31
"TM3",12.9,1950-12-31
"TM4",-1.4,1950-12-31
"PM1",61.1,1950-12-31
"TM1",8.4,1951-01-31
"TM2",3.3,1951-01-31
"TM3",13.5,1951-01-31
"TM4",-2.5,1951-01-31
"PM1",71.1,1951-01-31
"TM1",8.4,1951-02-28
"TM2",4,1951-02-28
"TM3",12.7,1951-02-28
"TM4",-1,1951-02-28
"PM1",84.1,1951-02-28
"TM1",11.7,1951-03-31
"TM2",7.1,1951-03-31
"TM3",16.4,1951-03-31
"TM4",2,1951-03-31
"PM1",124.5,1951-03-31
"TM1",12.6,1951-04-30
"TM2",7.8,1951-04-30
"TM3",17.5,1951-04-30
"TM4",2.8,1951-04-30
"PM1",30.1,1951-04-30
"TM1",14.1,1951-05-31
"TM2",8.7,1951-05-31
"TM3",19.6,1951-05-31
"TM4",1.6,1951-05-31
"PM1",28.9,1951-05-31
"TM1",19.7,1951-06-30
"TM2",14.1,1951-06-30
"TM3",25.3,1951-06-30
"TM4",10,1951-06-30
"PM1",6.3,1951-06-30
"TM1",22.4,1951-07-31
"TM2",16.5,1951-07-31
"TM3",28.2,1951-07-31
"TM4",13.6,1951-07-31
"PM1",1.6,1951-07-31
"TM1",22.4,1951-08-31
"TM2",16.1,1951-08-31
"TM3",28.7,1951-08-31
"TM4",14,1951-08-31
"TM1",20.3,1951-09-30
"TM2",14.8,1951-09-30
"TM3",25.9,1951-09-30
"TM4",12,1951-09-30
"PM1",62,1951-09-30
