date; prec
30/06/1972;9.9
30/09/1972;86.6
31/10/1972;173.0
30/11/1972;53.4
31/12/1972;40.0
31/01/1973;50.0
28/02/1973;44.0
31/03/1973;75.7
30/04/1973;19.8
31/05/1973;54.5
30/06/1973;32.5
31/07/1973;0.0
30/09/1973;0.0
31/10/1973;203.8
30/11/1973;70.5
31/12/1973;247.5
31/01/1974;21.0
28/02/1974;93.6
31/03/1974;86.8
30/04/1974;102.5
31/05/1974;15.0
30/06/1974;26.7
31/07/1974;14.0
31/08/1974;6.0
30/09/1974;0.0
31/10/1974;42.0
30/11/1974;17.0
31/12/1974;0.0
31/01/1975;86.5
28/02/1975;53.4
31/03/1975;128.1
30/04/1975;88.1
31/05/1975;51.6
30/06/1975;24.1
31/07/1975;0.0
31/08/1975;0.0
30/09/1975;21.1
31/10/1975;0.0
30/11/1975;22.5
31/12/1975;114.0
31/01/1976;59.7
29/02/1976;71.0
31/03/1976;48.5
30/04/1976;208.5
31/05/1976;71.6
30/06/1976;40.7
31/07/1976;14.1
31/08/1976;6.0
30/09/1976;30.0
31/10/1976;180.5
30/11/1976;39.0
31/12/1976;361.0
31/01/1977;164.0
28/02/1977;39.3
31/03/1977;19.8
30/04/1977;8.0
31/05/1977;14.0
30/06/1977;21.1
31/07/1977;14.0
31/08/1977;0.0
30/09/1977;8.5
31/10/1977;158.5
30/11/1977;119.0
31/12/1977;141.5
31/01/1978;55.0
28/02/1978;267.0
31/03/1978;73.0
30/04/1978;100.0
31/05/1978;79.0
30/06/1978;13.5
31/07/1978;0.0
31/08/1978;6.1
30/09/1978;5.0
31/10/1978;15.0
30/11/1978;40.0
31/12/1978;167.0
31/01/1979;358.5
28/02/1979;169.0
31/03/1979;108.5
30/04/1979;42.5
31/05/1979;8.5
30/06/1979;9.0
31/07/1979;26.0
31/08/1979;0.0
30/09/1979;76.0
31/10/1979;291.0
30/11/1979;37.5
31/12/1979;32.0
31/01/1980;46.1
29/02/1980;79.5
31/03/1980;91.5
30/04/1980;15.0
31/05/1980;88.8
30/06/1980;63.5
31/07/1980;0.0
31/08/1980;2.5
30/09/1980;20.5
31/10/1980;38.0
30/11/1980;195.0
31/12/1980;6.0
31/01/1981;3.5
28/02/1981;8.8
31/03/1981;58.6
