date; prec
30/09/1972;56.7
31/10/1972;139.7
30/11/1972;58.4
31/12/1972;29.9
31/01/1973;57.5
28/02/1973;37.0
31/03/1973;59.8
30/04/1973;11.0
31/05/1973;41.0
30/06/1973;4.5
31/07/1973;0.0
31/08/1973;12.0
30/09/1973;12.0
31/10/1973;190.7
30/11/1973;45.4
31/12/1973;216.3
31/01/1974;20.0
28/02/1974;80.1
31/03/1974;78.6
30/04/1974;111.6
31/05/1974;3.3
30/06/1974;17.7
31/07/1974;0.0
31/08/1974;2.0
30/09/1974;0.0
31/10/1974;45.3
31/01/1975;41.7
28/02/1975;35.8
31/03/1975;95.5
30/04/1975;67.3
31/05/1975;28.3
30/06/1975;16.5
31/07/1975;0.0
31/08/1975;0.0
30/09/1975;8.5
31/10/1975;2.0
30/11/1975;20.3
31/12/1975;88.0
31/01/1976;62.0
29/02/1976;44.4
31/03/1976;33.5
30/04/1976;206.0
31/05/1976;43.5
30/06/1976;23.0
31/07/1976;14.3
31/08/1976;0.0
30/09/1976;28.4
31/10/1976;117.9
30/11/1976;17.0
31/12/1976;221.9
31/01/1977;122.6
28/02/1977;30.0
31/03/1977;15.2
30/04/1977;4.5
31/05/1977;6.9
30/06/1977;14.0
31/07/1977;10.5
31/08/1977;0.0
30/09/1977;7.7
31/10/1977;94.1
30/11/1977;94.9
31/12/1977;86.1
31/01/1978;31.5
28/02/1978;183.7
31/03/1978;55.5
30/04/1978;60.3
31/05/1978;55.2
30/06/1978;26.7
31/07/1978;0.0
31/08/1978;11.0
30/09/1978;4.5
31/10/1978;6.2
30/11/1978;25.1
31/12/1978;106.9
31/01/1979;214.5
28/02/1979;161.5
31/03/1979;75.0
30/04/1979;33.5
31/05/1979;17.7
30/06/1979;4.9
31/07/1979;20.5
31/08/1979;0.0
30/09/1979;43.0
31/10/1979;192.8
30/11/1979;17.5
31/12/1979;28.5
31/01/1980;45.0
29/02/1980;55.1
31/03/1980;72.7
30/04/1980;23.8
31/05/1980;82.7
30/06/1980;45.3
31/07/1980;0.0
31/08/1980;0.0
30/09/1980;13.7
31/10/1980;20.2
30/11/1980;131.8
31/12/1980;0.0
31/01/1981;0.0
28/02/1981;9.0
31/03/1981;40.1
30/04/1981;142.9
31/05/1981;33.8
30/06/1981;70.6
31/07/1981;0.0
31/08/1981;5.5
30/09/1981;36.0
31/10/1981;9.0
30/11/1981;0.0
31/12/1981;290.7
31/01/1982;127.5
28/02/1982;37.6
31/03/1982;101.4
30/04/1982;69.6
31/05/1982;7.5
30/06/1982;5.5
31/07/1982;0.0
31/08/1982;6.0
30/09/1982;0.0
31/10/1982;27.7
30/11/1982;234.3
31/12/1982;20.8
31/01/1983;0.0
28/02/1983;37.2
31/03/1983;25.5
30/04/1983;11.8
31/05/1983;3.8
30/06/1983;1.2
31/07/1983;0.0
31/08/1983;2.2
30/09/1983;0.0
31/10/1983;14.5
30/11/1983;334.8
31/12/1983;206.0
31/01/1984;3.5
29/02/1984;26.3
31/03/1984;102.4
30/04/1984;49.9
31/05/1984;181.6
30/06/1984;13.8
31/07/1984;0.0
31/08/1984;1.0
30/09/1984;6.2
31/10/1984;8.0
30/11/1984;185.5
31/12/1984;0.8
31/01/1985;63.7
28/02/1985;138.0
31/03/1985;12.3
30/04/1985;23.7
31/05/1985;21.9
30/06/1985;2.0
31/07/1985;0.0
31/08/1985;0.0
30/09/1985;20.7
31/10/1985;0.0
30/11/1985;123.6
31/12/1985;22.9
31/01/1986;58.3
28/02/1986;212.0
31/03/1986;65.9
30/04/1986;43.4
31/05/1986;0.0
30/06/1986;22.5
31/07/1986;18.5
31/08/1986;0.0
30/09/1986;1.0
31/10/1986;120.9
30/11/1986;52.2
31/12/1986;17.2
31/01/1987;309.4
28/02/1987;70.1
31/03/1987;11.8
30/04/1987;52.3
31/05/1987;2.4
30/06/1987;6.2
31/08/1987;24.5
30/09/1987;7.6
31/10/1987;45.8
30/11/1987;82.9
31/12/1987;153.1
31/01/1988;77.7
29/02/1988;39.8
