date; prec
31/01/1950;40.1
31/03/1950;26.1
30/04/1950;27.9
31/05/1950;47.5
30/11/1950;6.5
31/12/1951;28.5
29/02/1952;27.3
31/08/1952;62.1
30/09/1952;20.2
31/10/1952;33.0
30/11/1952;46.3
31/12/1952;55.9
31/01/1953;44.3
28/02/1953;17.6
31/03/1953;42.9
30/04/1953;42.0
31/10/1953;90.3
30/11/1953;21.7
31/12/1953;128.4
31/01/1954;20.6
28/02/1954;26.4
31/03/1954;122.2
30/04/1954;76.5
31/05/1954;6.0
30/06/1954;5.3
30/11/1954;56.8
31/12/1954;62.7
31/01/1955;129.5
28/02/1955;139.4
31/03/1955;48.0
30/04/1955;9.4
31/05/1955;3.2
30/06/1955;20.1
31/07/1955;3.5
31/08/1955;0.0
30/09/1955;4.0
31/10/1955;121.9
30/11/1955;56.2
31/12/1955;54.7
31/01/1956;82.5
29/02/1956;45.0
31/03/1956;99.2
30/04/1956;120.2
31/05/1956;8.3
31/07/1956;12.2
31/08/1956;8.7
30/09/1956;36.5
31/10/1956;11.9
30/11/1956;42.2
31/12/1956;19.3
31/01/1957;69.0
28/02/1957;19.8
31/03/1957;38.6
30/04/1957;98.4
31/05/1957;73.7
30/06/1957;5.5
30/09/1957;7.0
31/10/1957;73.7
30/11/1957;53.9
31/12/1957;72.5
31/01/1958;41.0
28/02/1958;28.0
31/03/1958;62.4
30/04/1958;59.2
31/05/1958;12.0
31/10/1958;15.0
30/11/1958;55.5
31/12/1958;223.5
31/01/1959;47.1
28/02/1959;50.4
31/03/1959;47.3
30/04/1959;26.0
31/05/1959;139.5
31/07/1959;11.2
31/08/1959;15.0
30/09/1959;43.0
31/10/1959;39.3
30/11/1959;40.0
31/12/1959;74.0
31/01/1960;56.0
29/02/1960;92.4
31/03/1960;175.5
30/04/1960;51.5
31/05/1960;26.8
30/06/1960;20.0
31/10/1960;118.0
30/11/1960;38.0
31/12/1960;47.6
31/01/1961;44.0
31/03/1961;7.0
30/09/1961;30.0
31/10/1961;12.5
30/11/1961;137.5
31/12/1961;146.5
31/03/1962;133.7
30/04/1962;81.0
31/05/1962;62.0
31/10/1962;163.5
30/11/1962;79.0
31/12/1962;131.0
31/01/1963;143.0
28/02/1963;113.5
31/03/1963;12.5
30/04/1963;41.0
31/05/1963;60.8
30/06/1963;25.0
31/07/1963;0.0
30/09/1963;71.0
31/10/1963;8.0
30/11/1963;93.0
31/12/1963;191.6
31/01/1964;21.1
29/02/1964;75.1
31/03/1964;59.1
30/04/1964;34.7
31/05/1964;11.0
30/06/1964;22.5
31/10/1964;1.0
30/11/1964;28.1
31/12/1964;85.2
31/01/1965;77.5
28/02/1965;66.1
31/03/1965;26.1
30/04/1965;10.7
31/05/1965;0.0
30/06/1965;18.0
31/07/1965;0.0
30/09/1965;51.5
31/10/1965;94.1
30/11/1965;119.9
31/12/1965;29.0
31/01/1966;38.0
28/02/1966;78.5
31/03/1966;13.0
30/04/1966;25.4
31/05/1966;19.8
30/06/1966;0.0
31/07/1966;0.0
30/09/1966;28.6
31/10/1966;63.1
30/11/1966;30.2
31/12/1966;0.3
31/01/1967;25.0
28/02/1967;75.6
31/03/1967;43.5
30/04/1967;40.4
31/05/1967;36.2
30/06/1967;79.5
31/07/1967;0.0
30/09/1967;0.0
31/10/1967;35.0
30/11/1967;84.6
31/01/1968;7.1
29/02/1968;164.4
31/03/1968;81.8
30/04/1968;48.5
31/05/1968;4.0
30/06/1968;17.0
31/07/1968;0.0
30/09/1968;0.0
31/10/1968;25.0
30/11/1968;71.2
31/12/1968;71.1
31/01/1969;64.6
28/02/1969;125.1
31/03/1969;56.1
30/04/1969;50.6
31/05/1969;103.0
30/06/1969;26.5
31/07/1969;0.0
30/09/1969;55.2
31/10/1969;91.1
30/11/1969;66.8
31/12/1969;44.1
31/01/1970;204.4
28/02/1970;3.7
31/03/1970;73.6
30/04/1970;41.5
31/05/1970;9.5
30/06/1970;25.3
31/07/1970;0.1
31/08/1970;0.0
30/09/1970;1.5
31/10/1970;23.0
30/11/1970;19.1
31/12/1970;91.1
31/01/1971;70.3
28/02/1971;14.0
31/03/1971;85.0
30/04/1971;177.2
31/05/1971;47.2
30/06/1971;0.1
31/07/1971;0.1
31/08/1971;0.1
30/09/1971;19.0
31/10/1971;17.2
30/11/1971;40.5
31/12/1971;52.8
31/01/1972;88.4
29/02/1972;58.5
31/03/1972;87.3
30/04/1972;0.3
31/05/1972;62.8
30/06/1972;20.7
31/08/1972;1.6
30/09/1972;66.8
31/10/1972;133.1
30/11/1972;92.6
31/12/1972;19.1
31/01/1973;42.1
28/02/1973;31.5
31/03/1973;92.7
30/04/1973;12.0
31/05/1973;36.1
30/06/1973;36.6
