year,ca,gu,obs
1787,905,1185,canar junto con barja
1842,985,1417,canar junto con barja
1857,1039,2962,
1860,909,2691,
1877,969,3059,
1887,1063,3713,
1897,933,3458,hecho (presentes + transeuntes)
1900,991,3521,hecho
1910,874,3853,hecho
1920,864,4015,hecho
1930,884,4169,hecho
1940,994,3899,hecho
1950,1056,4049,hecho
1960,1065,4016,hecho
1970,668,3480,hecho
1981,574,3073,
1991,346,2610, 
1996,314,2713,
1998,305,2698,
1999,325,2769,
2000,340,2702,
2001,347,2656,
2002,329,2647,
2003,345,2576,
2004,339,2828,
2005,366,2878,
2006,365,2915,
2007,395,2986,
2008,422,3002,
2009,429,2967,
2010,412,2988,
2011,418,3023,
2012,468,3007,
2013,462,2956,
2014,408,2946,
2015,405,2953,
2016,379,2909,
