"Comparison","Statistic","p.value","p.adjust","var"
"2005 - 2012 = 0","-0.1672","0.004",0.004,"rc"
"caH - caL = 0","0.1118","0.04133",0.124,"rc"
"caH - SJ = 0","-0.2808","0",0,"rc"
"caL - SJ = 0","-0.3926","0",0,"rc"
"2005.caH - 2012.caH = 0","-0.2344","0.001333",0.02,"rc"
"2005.caH - 2005.caL = 0","0.04416","0.3913",1,"rc"
"2005.caH - 2012.caL = 0","-0.05785","0.326",1,"rc"
"2005.caH - 2005.SJ = 0","-0.2314","0.01067",0.16,"rc"
"2005.caH - 2012.SJ = 0","-0.562","0",0,"rc"
"2012.caH - 2005.caL = 0","0.2786","0",0,"rc"
"2012.caH - 2012.caL = 0","0.1766","0.003333",0.05,"rc"
"2012.caH - 2005.SJ = 0","0.003094","0.922",1,"rc"
"2012.caH - 2012.SJ = 0","-0.3276","0",0,"rc"
"2005.caL - 2012.caL = 0","-0.102","0.048",0.72,"rc"
"2005.caL - 2005.SJ = 0","-0.2755","0.001333",0.02,"rc"
"2005.caL - 2012.SJ = 0","-0.6062","0",0,"rc"
"2012.caL - 2005.SJ = 0","-0.1735","0.032",0.48,"rc"
"2012.caL - 2012.SJ = 0","-0.5042","0",0,"rc"
"2005.SJ - 2012.SJ = 0","-0.3306","0.004667",0.07,"rc"
"2005 - 2012 = 0","-0.107","0.1013",0.1013,"rt"
"caH - caL = 0","-0.1156","0.003333",0.009999,"rt"
"caH - SJ = 0","0.1948","0.001333",0.003999,"rt"
"caL - SJ = 0","0.3104","0",0,"rt"
"2005.caH - 2012.caH = 0","0.15","0.01133",0.17,"rt"
"2005.caH - 2005.caL = 0","0.005064","0.84",1,"rt"
"2005.caH - 2012.caL = 0","-0.02152","0.3953",1,"rt"
"2005.caH - 2005.SJ = 0","0.4637","0",0,"rt"
"2005.caH - 2012.SJ = 0","0.1175","0.1073",1,"rt"
"2012.caH - 2005.caL = 0","-0.145","0.005333",0.08,"rt"
"2012.caH - 2012.caL = 0","-0.1715","0",0,"rt"
"2012.caH - 2005.SJ = 0","0.3137","0",0,"rt"
"2012.caH - 2012.SJ = 0","-0.03251","0.73",1,"rt"
"2005.caL - 2012.caL = 0","-0.02658","0.6527",1,"rt"
"2005.caL - 2005.SJ = 0","0.4586","0",0,"rt"
"2005.caL - 2012.SJ = 0","0.1125","0.06667",1,"rt"
"2012.caL - 2005.SJ = 0","0.4852","0",0,"rt"
"2012.caL - 2012.SJ = 0","0.139","0.006",0.09,"rt"
"2005.SJ - 2012.SJ = 0","-0.3462","0",0,"rt"
"2005 - 2012 = 0","-0.2266","0",0,"rs"
"caH - caL = 0","-0.00378","0.6113",1,"rs"
"caH - SJ = 0","0.004321","0.8027",1,"rs"
"caL - SJ = 0","0.008101","0.5813",1,"rs"
"2005.caH - 2012.caH = 0","-0.01725","0.5847",1,"rs"
"2005.caH - 2005.caL = 0","0.09509","0.5147",1,"rs"
"2005.caH - 2012.caL = 0","-0.07345","0.098",1,"rs"
"2005.caH - 2005.SJ = 0","0.3195","0",0,"rs"
"2005.caH - 2012.SJ = 0","-0.1646","0.012",0.18,"rs"
"2012.caH - 2005.caL = 0","0.1123","0.2493",1,"rs"
"2012.caH - 2012.caL = 0","-0.0562","0.2213",1,"rs"
"2012.caH - 2005.SJ = 0","0.3368","0",0,"rs"
"2012.caH - 2012.SJ = 0","-0.1474","0.028",0.42,"rs"
"2005.caL - 2012.caL = 0","-0.1685","0.02267",0.34,"rs"
"2005.caL - 2005.SJ = 0","0.2245","0",0,"rs"
"2005.caL - 2012.SJ = 0","-0.2597","0.002",0.03,"rs"
"2012.caL - 2005.SJ = 0","0.393","0",0,"rs"
"2012.caL - 2012.SJ = 0","-0.09118","0.02333",0.35,"rs"
"2005.SJ - 2012.SJ = 0","-0.4842","0",0,"rs"
"2005 - 2012 = 0","-0.1766","0",0,"rrs"
"caH - caL = 0","0.1145","0.07467",0.224,"rrs"
"caH - SJ = 0","-0.1318","0.01467",0.04401,"rrs"
"caL - SJ = 0","-0.2463","0",0,"rrs"
"2005.caH - 2012.caH = 0","-0.1976","0.004667",0.07,"rrs"
"2005.caH - 2005.caL = 0","0.03262","0.4493",1,"rrs"
"2005.caH - 2012.caL = 0","-0.06614","0.392",1,"rrs"
"2005.caH - 2005.SJ = 0","-0.1584","0.02267",0.34,"rrs"
"2005.caH - 2012.SJ = 0","-0.426","0",0,"rrs"
"2012.caH - 2005.caL = 0","0.2302","0",0,"rrs"
"2012.caH - 2012.caL = 0","0.1314","0.004667",0.07,"rrs"
"2012.caH - 2005.SJ = 0","0.03922","0.2273",1,"rrs"
"2012.caH - 2012.SJ = 0","-0.2284","0",0,"rrs"
"2005.caL - 2012.caL = 0","-0.09876","0.05133",0.77,"rrs"
"2005.caL - 2005.SJ = 0","-0.191","0.002667",0.04,"rrs"
"2005.caL - 2012.SJ = 0","-0.4586","0",0,"rrs"
"2012.caL - 2005.SJ = 0","-0.09221","0.02667",0.4,"rrs"
"2012.caL - 2012.SJ = 0","-0.3598","0",0,"rrs"
"2005.SJ - 2012.SJ = 0","-0.2676","0",0,"rrs"
