"fact","statistic","pvalue","var"
"disturb_year",29.5490868690894,0.001,"rc"
"site",53.0782848311037,0.001,"rc"
"disturb_year:site",4.39619696449553,0.134,"rc"
"disturb_year",6.01886713828244,0.019,"rt"
"site",59.2534877129263,0.001,"rt"
"disturb_year:site",32.2363248527219,0.001,"rt"
"disturb_year",44.3133831867686,0.001,"rs"
"site",1.31034042964135,0.534,"rs"
"disturb_year:site",30.0140630686943,0.001,"rs"
"disturb_year",43.2200231792837,0.001,"rrs"
"site",70.431419829939,0.001,"rrs"
"disturb_year:site",6.79093366916103,0.051,"rrs"
