"fact","statistic","pvalue","var"
"disturb_year",311.990416188869,0.001,"rc"
"site",105.413365422777,0.001,"rc"
"disturb_year:site",364.313103627816,0.001,"rc"
"disturb_year",799.868719835833,0.001,"rt"
"site",153.223012015647,0.001,"rt"
"disturb_year:site",234.69737689793,0.001,"rt"
"disturb_year",207.178779293293,0.001,"rs"
"site",29.8224675819049,0.001,"rs"
"disturb_year:site",6.13861013903397,0.014,"rs"
"disturb_year",245.253922921823,0.001,"rrs"
"site",71.3917148391265,0.001,"rrs"
"disturb_year:site",341.032694172571,0.001,"rrs"
