"var","disturb_year","site","n","M.Huber","ci","Letter"
"rc","2005","SJ",20,1.0747,"(0.9688,1.1806)","ab"
"rc","2005","caH",15,0.8689,"(0.7875,0.9504)","bc"
"rc","2005","caL",15,0.8104,"(0.7432,0.8775)","c"
"rc","2012","SJ",20,1.3943,"(1.257,1.5315)","a"
"rc","2012","caH",15,1.094,"(1.0301,1.158)","ab"
"rc","2012","caL",15,0.9293,"(0.8738,0.9847)","bc"
"rt","2005","SJ",20,0.4331,"(0.3616,0.5047)","a"
"rt","2005","caH",15,0.8649,"(0.7834,0.9464)","bc"
"rt","2005","caL",15,0.8716,"(0.7894,0.9538)","bc"
"rt","2012","SJ",20,0.7475,"(0.6692,0.8258)","bc"
"rt","2012","caH",15,0.7438,"(0.6846,0.803)","b"
"rt","2012","caL",15,0.903,"(0.8636,0.9425)","c"
"rs","2005","SJ",20,0.4506,"(0.3854,0.5158)","a"
"rs","2005","caH",15,0.7413,"(0.6669,0.8157)","c"
"rs","2005","caL",15,0.6928,"(0.605,0.7805)","ac"
"rs","2012","SJ",20,0.9983,"(0.9213,1.0752)","b"
"rs","2012","caH",15,0.8052,"(0.7509,0.8595)","bc"
"rs","2012","caL",15,0.8314,"(0.7796,0.8831)","bc"
"rrs","2005","SJ",20,0.0256,"(-0.0158,0.067)","ab"
"rrs","2005","caH",15,-0.1225,"(-0.1997,-0.0452)","ab"
"rrs","2005","caL",15,-0.164,"(-0.2254,-0.1025)","b"
"rrs","2012","SJ",20,0.2727,"(0.1959,0.3494)","c"
"rrs","2012","caH",15,0.0683,"(0.0239,0.1128)","a"
"rrs","2012","caL",15,-0.0632,"(-0.1148,-0.0115)","ab"
