"disturb_year","site","n","M.Huber","lower.ci","upper.ci","var","Letter","MonoLetter","var_sorted"
"2005","SJ",20,1.11221624788812,1.00036464720476,1.22406784857147,"rc","abc","abc","1_rc"
"2005","caH",15,0.886615020794289,0.800263426111852,0.972966615476726,"rc","bc"," bc","1_rc"
"2005","caL",15,0.832075760869227,0.732601921971067,0.931549599767387,"rc","c","  c","1_rc"
"2012","SJ",20,1.44567798472958,1.32230431684846,1.56905165261069,"rc","a","a  ","1_rc"
"2012","caH",15,1.10706794943831,1.02566812100217,1.18846777787445,"rc","b"," b ","1_rc"
"2012","caL",15,0.951972297525358,0.88889836171847,1.01504623333225,"rc","bc"," bc","1_rc"
"2005","SJ",20,0.445414742005476,0.375060097268172,0.515769386742779,"rt","a","a  ","0_rt"
"2005","caH",15,0.892095854813001,0.809061078335771,0.975130631290231,"rt","bc"," bc","0_rt"
"2005","caL",15,0.901187129673819,0.813203318923571,0.989170940424067,"rt","bc"," bc","0_rt"
"2012","SJ",20,0.768670984981255,0.683941580898532,0.853400389063978,"rt","bc"," bc","0_rt"
"2012","caH",15,0.753415973746607,0.686387708582312,0.820444238910901,"rt","b"," b ","0_rt"
"2012","caL",15,0.926349444781522,0.900133632150345,0.952565257412699,"rt","c","  c","0_rt"
"2005","SJ",20,0.488755502849963,0.421320265652754,0.556190740047172,"rs","a","a  ","2_rs"
"2005","caH",15,0.789536362533678,0.691266293168343,0.887806431899013,"rs","abc","abc","2_rs"
"2005","caL",15,0.730322083145019,0.61176034916739,0.848883817122649,"rs","ac","a c","2_rs"
"2012","SJ",20,1.0310245861982,0.9299756577282,1.1320735146682,"rs","b"," b ","2_rs"
"2012","caH",15,0.813224766950568,0.741261307368564,0.885188226532571,"rs","bc"," bc","2_rs"
"2012","caL",15,0.876136038259205,0.839386589932317,0.912885486586093,"rs","bc"," bc","2_rs"
"2005","SJ",20,0.0426038345727869,-0.00655758258369774,0.0917652517292715,"rrs","ab","ab ","3_rrs"
"2005","caH",15,-0.107470846479506,-0.189291248681438,-0.025650444277573,"rrs","ab","ab ","3_rrs"
"2005","caL",15,-0.142350037006138,-0.2263911703163,-0.0583089036959758,"rrs","b"," b ","3_rrs"
"2012","SJ",20,0.32059937672374,0.229019152174729,0.412179601272751,"rrs","c","  c","3_rrs"
"2012","caH",15,0.0819100006670474,0.0274618420547903,0.136358159279305,"rrs","ac","a c","3_rrs"
"2012","caL",15,-0.044301151370404,-0.107080862154616,0.0184785594138081,"rrs","ab","ab ","3_rrs"
