"site","n","M.Huber","lower.ci","upper.ci","var"
"SJ",40,1.28237089686502,1.1791233705673,1.38561842316274,"rc"
"caH",30,0.996181443718382,0.917089998660162,1.0752728887766,"rc"
"caL",30,0.897248824007473,0.843072199445579,0.951425448569367,"rc"
"SJ",40,0.611647120680989,0.538705279582745,0.684588961779234,"rt"
"caH",30,0.815651297379977,0.754876583151839,0.876426011608115,"rt"
"caL",30,0.920874829426757,0.883353913115601,0.958395745737912,"rt"
"SJ",40,0.769387040238712,0.652392547340462,0.886381533136963,"rs"
"caH",30,0.797483095379964,0.74390126203165,0.851064928728277,"rs"
"caL",30,0.817168792257669,0.755276629398162,0.879060955117176,"rs"
"SJ",40,0.165592346918587,0.0948219845225289,0.236362709314644,"rrs"
"caH",30,-0.00632880651244056,-0.0667770158954187,0.0541194028705376,"rrs"
"caL",30,-0.0938655337327699,-0.145473573775947,-0.0422574936895932,"rrs"
